Category	Mod	DevURL
Contour Icons/Tank Icons	----------brown	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------AntiTank Tanks blue	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Artillery (SPG)	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------red	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------violet	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Premium Tanks Gold	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	------Regular with White Text	=HYPERLINK("https://yadi.sk/d/AOXeb0rK3XmzaC\r\nhttp://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Light Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------gray	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------green	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Medium Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------red	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------olive	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------green	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------yellow	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Heavy Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------black	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------brown	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------AntiTank Tanks blue	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Artillery (SPG)	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------red	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------violet	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Premium Tanks Gold	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	------Regular with Beige Text	=HYPERLINK("https://yadi.sk/d/AOXeb0rK3XmzaC\r\nhttp://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Light Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------gray	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------green	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Medium Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------yellow	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------red	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------olive	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------green	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Heavy Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------black	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------brown	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------AntiTank Tanks blue	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Artillery (SPG)	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------red	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----------violet	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Premium Tanks Gold	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	----Roman Numbers (I-X)	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	------Regular Text	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Gold Premium Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	------Beige Text	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Gold Premium Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	------White Text	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--------Gold Premium Tanks	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1278386-","link")
Contour Icons/Tank Icons	--LordFelix	=HYPERLINK("https://wgmods.net/652/details\r\nhttps://drive.google.com/open?id=1hE5Np0olIbzqC_dm3hgIapph9GZ55HFd","link")
Contour Icons/Tank Icons	--Man1aq	=HYPERLINK("http://man1aqcontourmod.one.pl/","link")
Contour Icons/Tank Icons	----Basic	
Contour Icons/Tank Icons	----Premium Alternative	
Contour Icons/Tank Icons	--Mirukii	=HYPERLINK("https://wgmods.net/907/details","link")
Contour Icons/Tank Icons	--Nikodemsky	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/219347-\r\nhttp://forum.worldoftanks.eu/index.php?/topic/321210-","link")
Contour Icons/Tank Icons	--Pogs - continued by DaMatz (2019)	=HYPERLINK("https://www.mediafire.com/folder/gnq4dfy7z13yg/ContourIcons_Pogs\r\nhttp://forum.worldoftanks.eu/index.php?/topic/637660-\r\nhttp://wotsite.net/ikonki/3122-\nhttp://forum.worldoftanks.eu/index.php?/topic/637660-\nhttps://wgmods.net/search/?owner=66\nhttps://wgmods.net/1323/details\r\n","link")
Contour Icons/Tank Icons	----Clear	=HYPERLINK("https://wgmods.net/37/details","link")
Contour Icons/Tank Icons	------tier, name	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration, armor numbers	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration, armor numbers, view range	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration, armor numbers, view range, reload time	
Contour Icons/Tank Icons	----Colored	=HYPERLINK("http://wotsite.net/ikonki/3122-","link")
Contour Icons/Tank Icons	------DaMatz	
Contour Icons/Tank Icons	------tier, name	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration, armour numbers	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration, armour numbers, view range	
Contour Icons/Tank Icons	------tier, name, avg or gold penetration, armour numbers, view range, reload	
Contour Icons/Tank Icons	--Psycho Killer	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/2058277-","link")
Contour Icons/Tank Icons	--"Risky Style" by colt87 & Ragnarocek	=HYPERLINK("https://www.wgmods.eu/forum/files/file/14-1510-colored-contour-icons-riskynets-colors/\r\nhttp://forum.worldoftanks.eu/index.php?/topic/534757-\r\nhttps://wgmods.net/2945/","link")
Contour Icons/Tank Icons	--TORQue - Inspired by Witblitz	=HYPERLINK("http://aslain.com/\r\nhttp://forum.worldoftanks.eu/index.php?/topic/283444-","link")
Contour Icons/Tank Icons	--Wizard by yaya070	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/610927-","link")
Contour Icons/Tank Icons	----Arabic Tier Numbers	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/610927-","link")
Contour Icons/Tank Icons	----Roman Tier Numbers	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/610927-","link")
Contour Icons/Tank Icons	Tank Icons	
Contour Icons/Tank Icons	--Carousel Tankicons	
Contour Icons/Tank Icons	----Ghostman101278´s regular & premium tank icons	=HYPERLINK("http://www.mediafire.com/file/84oc1jad7oc8mll/Ghostman101278%2527s_Carousel_Icons.zip/file","link")
Contour Icons/Tank Icons	----LegionLost´s regular & premium tank icons	=HYPERLINK("https://wgmods.net/2147/details","link")
Contour Icons/Tank Icons	----Regular tank icons	
Contour Icons/Tank Icons	------Debranded´s default ->  brighter tank icons	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Debranded´s camouflaged tank icons	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----Premium tank icons	
Contour Icons/Tank Icons	------Aslain´s golden premium tanks V0	=HYPERLINK("https://ci.appveyor.com/project/rstarkov/tankiconmaker/build/artifacts","link")
Contour Icons/Tank Icons	------Aslain´s golden premium tanks V1	=HYPERLINK("http://wotsite.net/mody-dlya-world-of-tanks/11589-zolotye-ikonki-premium-tankov-v-angare.html","link")
Contour Icons/Tank Icons	------Debranded´s dark-golden premium tanks	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Debranded´s light-golden premium tanks	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Debranded´s camouflaged premium tanks	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Debranded´s pre-colored tanks	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Kaptain_Prio´s "Greater Premium Tanks"	=HYPERLINK("https://wgmods.net/515/details","link")
Contour Icons/Tank Icons	--Techtree and Vehicle List Tankicons	
Contour Icons/Tank Icons	----Aslain´s	
Contour Icons/Tank Icons	------V1 (Bar)	
Contour Icons/Tank Icons	------V2 (Circle)	
Contour Icons/Tank Icons	----DEBranded´s V1 Default	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------colored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------DEbranded	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Yaya	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Androdizel	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----DEBranded´s V1 Camo	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Colored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------DEbranded	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Yaya	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Androdizel	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----DEBranded´s V2 Premium Light	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------colored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------DEbranded	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Yaya	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Androdizel	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----DEBranded´s V2 Premium Dark	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------colored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------DEBranded	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Yaya	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Androdizel	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----DEBranded´s V2 Premium Camo	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------colored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------DEbranded	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Yaya	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Androdizel	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----DEBranded´s V3 Premium preColored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------colored	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------DEBranded	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Yaya	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	------Androdizel	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/608624-","link")
Contour Icons/Tank Icons	----Ghostman101278	=HYPERLINK("http://www.mediafire.com/file/icqhqv2mqdhh1oz/Ghostman101278's+Techtree+Icons.zip","link")
Damage Logs/Damage Panels	Damage Logs	
Damage Logs/Damage Panels	--GambitER	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/3109-","link")
Damage Logs/Damage Panels	----config from KobkaG	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1611203-","link")
Damage Logs/Damage Panels	----config from Kornet_WA	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/3109-panel-povrezhdenij-damage-panel-dlya-071.html","link")
Damage Logs/Damage Panels	----config from maks5189_v1	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/3109-panel-povrezhdenij-damage-panel-dlya-071.html","link")
Damage Logs/Damage Panels	----config from maks5189 v2	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/3109-panel-povrezhdenij-damage-panel-dlya-071.html","link")
Damage Logs/Damage Panels	----config from daemon2597	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/3109-panel-povrezhdenij-damage-panel-dlya-071.html","link")
Damage Logs/Damage Panels	----config from OMC	
Damage Logs/Damage Panels	----config from XFT with integrated hitlog (xvm needed for hitlog)	
Damage Logs/Damage Panels	----config from XFT with hitlog on top (xvm needed for hitlog)	
Damage Logs/Damage Panels	----damage messages	
Damage Logs/Damage Panels	------move damage messages to center	
Damage Logs/Damage Panels	------disable damage messages	
Damage Logs/Damage Panels	Damage Panels	
Damage Logs/Damage Panels	--Bionick	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4281-novyj-mod-paneli-povrezhdenij-dlya-world-of-tanks.html","link")
Damage Logs/Damage Panels	----Transparent	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/10331-peredelannaya-panel-povrezhdenij-ot-bionick-dlya-world-of-tanks.html","link")
Damage Logs/Damage Panels	--Glass with Angle Indicator (elektrosmoker´s sloppy version)	
Damage Logs/Damage Panels	--Hawgs Glass	=HYPERLINK("https://wgmods.net/2087/\r\nhttps://discord.gg/6Kye2zx","link")
Damage Logs/Damage Panels	----Original	=HYPERLINK("https://wgmods.net/2087/\r\nhttps://discord.gg/6Kye2zx","link")
Damage Logs/Damage Panels	----with angle indicator (outer)	
Damage Logs/Damage Panels	----with angle indicator (inner full)	
Damage Logs/Damage Panels	----with angle indicator (inner lite)	
Damage Logs/Damage Panels	--KobkaG	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1611203-","link")
Damage Logs/Damage Panels	----Standard	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1611203-","link")
Damage Logs/Damage Panels	----with central repair	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1611203-","link")
Damage Logs/Damage Panels	----Notebook	=HYPERLINK("http://forum.worldoftanks.ru/index.php?/topic/1611203-","link")
Damage Logs/Damage Panels	--Legacy	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/12429-panel-povrezhdenij-legacy-dlya-wot-0-9-20.html","link")
Damage Logs/Damage Panels	----Metall	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/12429-panel-povrezhdenij-legacy-dlya-wot-0-9-20.html","link")
Damage Logs/Damage Panels	----Dark	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/12429-panel-povrezhdenij-legacy-dlya-wot-0-9-20.html","link")
Damage Logs/Damage Panels	----Blue	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/12429-panel-povrezhdenij-legacy-dlya-wot-0-9-20.html","link")
Damage Logs/Damage Panels	----enable central repair rose	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/12429-panel-povrezhdenij-legacy-dlya-wot-0-9-20.html","link")
Damage Logs/Damage Panels	--LegionLost	=HYPERLINK("https://wgmods.net/2159/","link")
Damage Logs/Damage Panels	--Playstation	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/11605-panel-povrezhdenij-playstation-dlya-world-of-tanks.html","link")
Damage Logs/Damage Panels	--Rabbit	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4281-novyj-mod-paneli-povrezhdenij-dlya-world-of-tanks.html","link")
Damage Logs/Damage Panels	----Standard	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4281-novyj-mod-paneli-povrezhdenij-dlya-world-of-tanks.html","link")
Damage Logs/Damage Panels	----with central repair	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4281-novyj-mod-paneli-povrezhdenij-dlya-world-of-tanks.html","link")
Damage Logs/Damage Panels	--Zayaz	
Damage Logs/Damage Panels	----Standard	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4523-","link")
Damage Logs/Damage Panels	----with blocking angle indicator	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4523-","link")
Damage Logs/Damage Panels	----with repair center	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4523-","link")
Damage Logs/Damage Panels	----with repair center and blocking angle indicator	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/4523-","link")
Damage Logs/Damage Panels	--Z-Mod	=HYPERLINK("http://wotsite.net/paneli-povrezhdenij/12058-novyj-boevoj-interfejs-z-mod-ot-marsoff.html","link")
Damage Logs/Damage Panels	Damage Panels + Damage Logs Seperate	
Damage Logs/Damage Panels	Damage Panel + Damage Log Combo	
Ingame Aim	Arty Splash Sphere	=HYPERLINK("https://github.com/spoter/spoter-mods/tree/master/mod_artySplash","link")
Ingame Aim	Auto-aim indicator (press Right-ALT to en-/disable)	=HYPERLINK("http://forum.worldoftanks.eu/index.php?/topic/441413-","link")
Ingame Aim	--2 sec autoaim search	
Ingame Aim	--5 sec autoaim search	
Ingame Aim	--infinite autoaim search	
Ingame Aim	--auto-announce reload add-on	
Ingame Aim	--repair with T add-on	
Ingame Aim	--ally shot blocker add-on	
Ingame Aim	--help message when spotted add-on	
Ingame Aim	BalCalcMod	=HYPERLINK("https://koreanrandom.com/forum/topic/30440-","link")
Ingame Aim	--E key	
Ingame Aim	--F key	
Ingame Aim	--Q key	
Ingame Aim	Battle Assistant v2.2.3	=HYPERLINK("https://wgmods.net/435/details\r\nhttp://forum.worldoftanks.ru/index.php?/topic/1389614-","link")
Ingame Aim	--G	
Ingame Aim	--J	
Ingame Aim	--Middle Mouse	
Ingame Aim	--Increased Smooth Time (0,5)	
Ingame Aim	--Increased Zoom Speed	
Ingame Aim	Colored Silhouette (when aiming at tanks in battle)	=HYPERLINK("https://wotsite.net/mody-dlya-world-of-tanks/10617-mod-raznotsvetnye-kontury-tankov.html","link")
Ingame Aim	--colors	
Ingame Aim	----on allied tanks	
Ingame Aim	------Black RGB(0,0,0)	
Ingame Aim	------Grey RGB(128,128,128)	
Ingame Aim	------White RGB(255,255,255)	
Ingame Aim	------LightBlue RGB (10,120,255)	
Ingame Aim	------Blue RGB (0,0,255)	
Ingame Aim	------WG Blue RGB (130,120,255)	
Ingame Aim	------DarkBlue Navy RGB (0,0,130)	
Ingame Aim	------OliveGreen RGB (105,200,125)	
Ingame Aim	------LimeGreen RGB (50,205,50)	
Ingame Aim	------LawnGreen RGB (125,210,10)	
Ingame Aim	------Yellow RGB(255,255,0)	
Ingame Aim	------Orange RGB (255,70,0)	
Ingame Aim	------Red RGB (255,20,10)	
Ingame Aim	------Magenta RGB (200,20,130)	
Ingame Aim	----on enemy tanks	
Ingame Aim	------Black RGB(0,0,0)	
Ingame Aim	------Grey RGB(128,128,128)	
Ingame Aim	------White RGB(255,255,255)	
Ingame Aim	------LightBlue RGB (10,120,255)	
Ingame Aim	------Blue RGB (0,0,255)	
Ingame Aim	------WG Blue RGB (130,120,255)	
Ingame Aim	------DarkBlue Navy RGB (0,0,130)	
Ingame Aim	------OliveGreen RGB (105,200,125)	
Ingame Aim	------LimeGreen RGB (50,205,50)	
Ingame Aim	------LawnGreen RGB (125,210,10)	
Ingame Aim	------Yellow RGB(255,255,0)	
Ingame Aim	------Orange RGB (255,70,0)	
Ingame Aim	------Red RGB (255,20,10)	
Ingame Aim	------Magenta RGB (200,20,130)	
Ingame Aim	--colorblind (enable colorblind mode in your WoT settings)	
Ingame Aim	----on allied tanks	
Ingame Aim	------Black RGB(0,0,0)	
Ingame Aim	------Grey RGB(128,128,128)	
Ingame Aim	------White RGB(255,255,255)	
Ingame Aim	------LightBlue RGB (10,120,255)	
Ingame Aim	------Blue RGB (0,0,255)	
Ingame Aim	------WG Blue RGB (130,120,255)	
Ingame Aim	------DarkBlue Navy RGB (0,0,130)	
Ingame Aim	------OliveGreen RGB (105,200,125)	
Ingame Aim	------LimeGreen RGB (50,205,50)	
Ingame Aim	------LawnGreen RGB (125,210,10)	
Ingame Aim	------Yellow RGB(255,255,0)	
Ingame Aim	------Orange RGB (255,70,0)	
Ingame Aim	------Red RGB (255,20,10)	
Ingame Aim	------Magenta RGB (200,20,130)	
Ingame Aim	----on enemy tanks	
Ingame Aim	------Black RGB(0,0,0)	
Ingame Aim	------Grey RGB(128,128,128)	
Ingame Aim	------White RGB(255,255,255)	
Ingame Aim	------LightBlue RGB (10,120,255)	
Ingame Aim	------Blue RGB (0,0,255)	
Ingame Aim	------WG Blue RGB (130,120,255)	
Ingame Aim	------DarkBlue Navy RGB (0,0,130)	
Ingame Aim	------OliveGreen RGB (105,200,125)	
Ingame Aim	------LimeGreen RGB (50,205,50)	
Ingame Aim	------LawnGreen RGB (125,210,10)	
Ingame Aim	------Yellow RGB(255,255,0)	
Ingame Aim	------Orange RGB (255,70,0)	
Ingame Aim	------Red RGB (255,20,10)	
Ingame Aim	------Magenta RGB (200,20,130)	
Ingame Aim	Disable sniper scope shadow/green effect (PMOD)	
Ingame Aim	Dispersion Indicator (aim time)	
Ingame Aim	--simple dispersion indicator by P0LIR0ID	=HYPERLINK("https://protanki.tv/mods/battle_mod/taimer-polnogo-svedeniya","link")
Ingame Aim	--extended dispersion info and indicator by Chirimen	=HYPERLINK("https://wgmods.net/3271/","link")
Ingame Aim	----Default	
Ingame Aim	----Full	
Ingame Aim	----Indicator	
Ingame Aim	----Logger	
Ingame Aim	----Simple	
Ingame Aim	MeltyElement EffectiveArmorPanel	=HYPERLINK("https://github.com/elementofprgress/MeltyElement_Effective_Armor_Mod","link")
Ingame Aim	Penetration ( ͡° ͜ʖ ͡°) Indicators	
Ingame Aim	--PMOD	
Ingame Aim	----Font	
Ingame Aim	------font size small (18)	
Ingame Aim	------font size medium (24)	
Ingame Aim	------font size large (30)	
Ingame Aim	----Coloured	
Ingame Aim	--Makct	=HYPERLINK("https://4cheat.ru/showthread.php?t=15891","link")
Ingame Aim	Replay FreeCamera	=HYPERLINK("https://wgmods.net/50/details","link")
Ingame Aim	SafeShot by OldSkool	=HYPERLINK("https://wgmods.net/1035/details\r\nhttps://wgmods.net/search/?owner=38530","link")
Ingame Aim	--1 second timeout	
Ingame Aim	--3 second timeout	
Ingame Aim	--5 second timeout	
Ingame Aim	--Block shots to dead tanks	
Ingame Aim	--Block shots to allies	
Ingame Aim	--Block shots to teamkillers	
Ingame Aim	--Send message in chat	
Ingame Aim	--Show notification about blocked shots	
Ingame Aim	Server-side Reticle	
Ingame Aim	--Server Reticle by Awfultanker	=HYPERLINK("https://awfultanker.torvox.eu/servermarker.html","link")
Ingame Aim	----Pentagon blue	
Ingame Aim	----Pentagon red	
Ingame Aim	----Pentagon green	
Ingame Aim	----blue	
Ingame Aim	----red	
Ingame Aim	----green	
Ingame Aim	--Elkano´s Server Gun Marker (ElkSGM) (NOT Compatible with PMOD)	=HYPERLINK("https://mods.curse.com/wot-mods/worldoftanks/255647-elksgm","link")
Ingame Aim	--Battle Interface modifications - Server Reticle (pmod)	
Ingame Aim	----blue	
Ingame Aim	----green	
Ingame Aim	----black and white	
Ingame Aim	----meltymaps mathmod	
Ingame Aim	Server Turret Extended v2.05	=HYPERLINK("https://github.com/spoter/spoter-mods/tree/master/mod_server_turret_extended","link")
Ingame Aim	Projectile Flytime for SPG/Arty	=HYPERLINK("https://wgmods.net/2753/details","link")
Ingame Aim	Target Arrow	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--Black	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--Blue	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--Green	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--Purple	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--Red	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--White	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	--Yellow	=HYPERLINK("https://wgmods.net/2037/details","link")
Ingame Aim	Zoom In (pmod)	
Ingame Aim	--2, 4, 8, 12	
Ingame Aim	--2, 4, 8, 16, 25 (client default)	
Ingame Aim	--2, 4, 8, 12, 16, 20, 26, 32	
Ingame Aim	--2, 4, 8, 12, 16, 20, 26, 32, 40, 48	
Ingame Aim	--Modify TD Brake	
Ingame Aim	----on	
Ingame Aim	----off	
Ingame Aim	--Modify Starting zoom	
Ingame Aim	----2x (client default)	
Ingame Aim	----4x	
Ingame Aim	----8x	
Ingame Aim	----16x	
Ingame Aim	--Enable pmod zoom indicator	
Ingame Aim	Zoom Out	
Ingame Aim	--Arcade Zoom	
